epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,75.5722,0.67328,1.07192,1.03311,0.81187,0.63626,0.86484,0.62864,1.61558,1.43107,1.36622,2.82082e-05,2.82082e-05,2.82082e-05
40,77.3522,0.90715,0.95767,1.22044,0.81187,0.63626,0.86484,0.62864,1.61558,1.43107,1.36622,2.84911e-05,2.84911e-05,2.84911e-05
41,79.0608,0.81436,1.02747,1.10236,0.80394,0.62487,0.85056,0.62336,1.63132,1.4423,1.36946,2.87504e-05,2.87504e-05,2.87504e-05
42,80.8456,0.89022,1.87177,1.26603,0.80394,0.62487,0.85056,0.62336,1.63132,1.4423,1.36946,2.89861e-05,2.89861e-05,2.89861e-05
43,82.4747,0.97945,1.54455,1.28586,0.78205,0.65,0.84385,0.60675,1.65238,1.49662,1.37856,2.91983e-05,2.91983e-05,2.91983e-05
44,84.3708,1.07048,1.17315,1.44801,0.78205,0.65,0.84385,0.60675,1.65238,1.49662,1.37856,2.93869e-05,2.93869e-05,2.93869e-05
45,86.1559,0.67629,1.0034,1.01506,0.7894,0.65,0.84498,0.60882,1.64668,1.52906,1.37725,2.9552e-05,2.9552e-05,2.9552e-05
46,87.8764,0.86094,1.29091,1.26128,0.7894,0.65,0.84498,0.60882,1.64668,1.52906,1.37725,2.96935e-05,2.96935e-05,2.96935e-05
47,89.704,0.89629,1.89987,1.332,0.78937,0.65,0.84594,0.60753,1.65618,1.57567,1.37843,2.98114e-05,2.98114e-05,2.98114e-05
48,91.4473,0.85601,1.84907,1.23435,0.78937,0.65,0.84594,0.60753,1.65618,1.57567,1.37843,2.99058e-05,2.99058e-05,2.99058e-05
49,93.3108,0.69534,0.96491,1.23193,0.77793,0.64634,0.84541,0.60935,1.65222,1.63088,1.37202,2.99766e-05,2.99766e-05,2.99766e-05
50,95.0118,0.73743,0.87857,1.29625,0.77793,0.64634,0.84541,0.60935,1.65222,1.63088,1.37202,3.00238e-05,3.00238e-05,3.00238e-05
51,96.7893,0.94366,0.99918,1.20291,0.78102,0.65,0.84546,0.60848,1.63702,1.66799,1.36247,3.00475e-05,3.00475e-05,3.00475e-05
52,98.4838,1.00232,1.08922,1.35086,0.78102,0.65,0.84546,0.60848,1.63702,1.66799,1.36247,3.00476e-05,3.00476e-05,3.00476e-05
53,100.252,0.74774,0.80894,1.22796,0.78102,0.65,0.84546,0.60848,1.63702,1.66799,1.36247,3.00242e-05,3.00242e-05,3.00242e-05
54,102.06,0.87187,1.11231,1.26879,0.73042,0.65,0.84451,0.61104,1.60344,1.73401,1.35813,2.99772e-05,2.99772e-05,2.99772e-05
55,103.574,0.88452,1.14444,1.13106,0.73042,0.65,0.84451,0.61104,1.60344,1.73401,1.35813,2.99066e-05,2.99066e-05,2.99066e-05
56,105.311,1.19688,1.47368,1.63716,0.73042,0.65,0.84451,0.61104,1.60344,1.73401,1.35813,2.98125e-05,2.98125e-05,2.98125e-05
57,107.144,0.9294,1.64033,1.29621,0.73132,0.65,0.84303,0.61049,1.61534,1.80761,1.35786,2.96948e-05,2.96948e-05,2.96948e-05
58,108.915,0.89097,1.65328,1.29843,0.73132,0.65,0.84303,0.61049,1.61534,1.80761,1.35786,2.95535e-05,2.95535e-05,2.95535e-05
59,110.617,0.88569,1.03478,1.22411,0.73132,0.65,0.84303,0.61049,1.61534,1.80761,1.35786,2.93887e-05,2.93887e-05,2.93887e-05
60,112.321,1.1623,0.75985,1.67259,0.7608,0.48333,0.69556,0.47628,1.5843,1.86054,1.33884,2.92003e-05,2.92003e-05,2.92003e-05
61,113.95,0.77988,0.82175,1.12559,0.7608,0.48333,0.69556,0.47628,1.5843,1.86054,1.33884,2.89884e-05,2.89884e-05,2.89884e-05
62,115.653,0.78177,1.03625,1.08158,0.7608,0.48333,0.69556,0.47628,1.5843,1.86054,1.33884,2.87529e-05,2.87529e-05,2.87529e-05
63,117.484,0.78478,0.95106,1.17017,0.77783,0.48333,0.59414,0.39189,1.60671,1.91588,1.34933,2.84938e-05,2.84938e-05,2.84938e-05
64,119.221,0.67922,0.72917,1.10991,0.77783,0.48333,0.59414,0.39189,1.60671,1.91588,1.34933,2.82112e-05,2.82112e-05,2.82112e-05
65,120.918,0.78521,0.91069,1.34759,0.77783,0.48333,0.59414,0.39189,1.60671,1.91588,1.34933,2.7905e-05,2.7905e-05,2.7905e-05
66,122.724,0.82218,1.0709,1.15838,0.77077,0.48333,0.56439,0.36739,1.63346,1.95846,1.36269,2.75753e-05,2.75753e-05,2.75753e-05
67,124.484,0.79158,1.36482,1.13364,0.77077,0.48333,0.56439,0.36739,1.63346,1.95846,1.36269,2.7222e-05,2.7222e-05,2.7222e-05
68,126.27,1.24517,2.40039,1.61195,0.77077,0.48333,0.56439,0.36739,1.63346,1.95846,1.36269,2.68451e-05,2.68451e-05,2.68451e-05
69,128.097,0.86933,1.25487,1.2283,0.61173,0.48333,0.53385,0.34029,1.60182,2.04328,1.34157,2.64447e-05,2.64447e-05,2.64447e-05
70,129.812,1.05733,1.05758,1.51969,0.61173,0.48333,0.53385,0.34029,1.60182,2.04328,1.34157,2.60207e-05,2.60207e-05,2.60207e-05
71,131.579,0.89412,1.6628,1.27989,0.61173,0.48333,0.53385,0.34029,1.60182,2.04328,1.34157,2.55731e-05,2.55731e-05,2.55731e-05
72,133.385,0.65336,0.69179,1.12243,0.59955,0.48333,0.53417,0.31406,1.61468,2.10184,1.34413,2.5102e-05,2.5102e-05,2.5102e-05
73,135.152,0.74701,1.03277,1.10873,0.59955,0.48333,0.53417,0.31406,1.61468,2.10184,1.34413,2.46073e-05,2.46073e-05,2.46073e-05
74,136.909,0.8998,0.63239,1.31782,0.59955,0.48333,0.53417,0.31406,1.61468,2.10184,1.34413,2.40891e-05,2.40891e-05,2.40891e-05
75,138.84,0.76383,0.6765,1.16435,0.56883,0.48333,0.51851,0.3135,1.61429,2.12466,1.35349,2.35472e-05,2.35472e-05,2.35472e-05
